English,English,en
Cebuano,Sinugboanong Binisaya,ceb
Swedish,Svenska,sv
German,Deutsch,de
French,Français,fr
Dutch,Nederlands,nl
Russian,Русский,ru
Italian,Italiano,it
Spanish,Español,es
Polish,Polski,pl
Waray-Waray,Winaray,war
Vietnamese,Tiếng Việt,vi
Japanese,日本語,ja
Egyptian Arabic,مصرى (Maṣri),arz
Chinese,中文,zh
Arabic,العربية,ar
Ukrainian,Українська,uk
Portuguese,Português,pt
Persian,فارسی,fa
Catalan,Català,ca
Serbian,Српски / Srpski,sr
Indonesian,Bahasa Indonesia,id
Norwegian (Bokmål),Norsk (Bokmål),no
Korean,한국어,ko
Finnish,Suomi,fi
Hungarian,Magyar,hu
Czech,Čeština,cs
Serbo-Croatian,Srpskohrvatski / Српскохрватски,sh
Min Nan,Bân-lâm-gú,zh-min-nan
Romanian,Română,ro
Turkish,Türkçe,tr
Basque,Euskara,eu
Malay,Bahasa Melayu,ms
Chechen,Нохчийн,ce
Esperanto,Esperanto,eo
Hebrew,עברית,he
Armenian,Հայերեն,hy
Bulgarian,Български,bg
Danish,Dansk,da
South Azerbaijani,تۆرکجه,azb
Tatar,Tatarça / Татарча,tt
Slovak,Slovenčina,sk
Kazakh,Қазақша,kk
Croatian,Hrvatski,hr
Minangkabau,Minangkabau,min
Estonian,Eesti,et
Belarusian,Беларуская,be
Lithuanian,Lietuvių,lt
Greek,Ελληνικά,el
Simple English,Simple English,simple
Azerbaijani,Azərbaycanca,az
Slovenian,Slovenščina,sl
Galician,Galego,gl
Urdu,اردو,ur
Norwegian (Nynorsk),Nynorsk,nn
Georgian,ქართული,ka
Hindi,हिन्दी,hi
Thai,ไทย,th
Uzbek,O‘zbek,uz
Latin,Latina,la
Tamil,தமிழ்,ta
Welsh,Cymraeg,cy
Volapük,Volapük,vo
Macedonian,Македонски,mk
Asturian,Asturianu,ast
Cantonese,粵語,zh-yue
Latvian,Latviešu,lv
Bengali,বাংলা,bn
Tajik,Тоҷикӣ,tg
Burmese,မြန်မာဘာသာ,my
Afrikaans,Afrikaans,af
Malagasy,Malagasy,mg
Occitan,Occitan,oc
Bosnian,Bosanski,bs
Low Saxon,Plattdüütsch,nds
Albanian,Shqip,sq
Kirghiz,Кыргызча,ky
Belarusian (Taraškievica),Беларуская (тарашкевіца),be-tarask
Newar,नेपाल भाषा,new
Malayalam,മലയാളം,ml
Telugu,తెలుగు,te
Breton,Brezhoneg,br
Marathi,मराठी,mr
Venetian,Vèneto,vec
Piedmontese,Piemontèis,pms
Javanese,Basa Jawa,jv
Haitian,Krèyol ayisyen,ht
Swahili,Kiswahili,sw
Sundanese,Basa Sunda,su
Western Punjabi,شاہ مکھی پنجابی (Shāhmukhī Pañjābī),pnb
Luxembourgish,Lëtzebuergesch,lb
Tagalog,Tagalog,tl
Bashkir,Башҡорт,ba
Irish,Gaeilge,ga
Silesian,Ślůnski,szl
Icelandic,Íslenska,is
Lombard,Lumbaart,lmo
Chuvash,Чăваш,cv
West Frisian,Frysk,fy
Scots,Scots,sco
Wu,吴语,wuu
Zazaki,Zazaki,diq
Aragonese,Aragonés,an
Kurdish,Kurdî / كوردی,ku
Punjabi,ਪੰਜਾਬੀ,pa
Yoruba,Yorùbá,yo
Nepali,नेपाली,ne
Bavarian,Boarisch,bar
Ido,Ido,io
Gujarati,ગુજરાતી,gu
Sorani,Soranî / کوردی,ckb
Alemannic,Alemannisch,als
Kannada,ಕನ್ನಡ,kn
Sicilian,Sicilianu,scn
Bishnupriya Manipuri,ইমার ঠার/বিষ্ণুপ্রিয়া মণিপুরী,bpy
Interlingua,Interlingua,ia
Quechua,Runa Simi,qu
Mongolian,Монгол,mn
Samogitian,Žemaitėška,bat-smg
Sinhalese,සිංහල,si
Navajo,Diné bizaad,nv
Oriya,ଓଡ଼ିଆ,or
Min Dong,Mìng-dĕ̤ng-ngṳ̄,cdo
Ilokano,Ilokano,ilo
Mingrelian,მარგალური (Margaluri),xmf
Scottish Gaelic,Gàidhlig,gd
Yiddish,ייִדיש,yi
Amharic,አማርኛ,am
Neapolitan,Nnapulitano,nap
Buginese,Basa Ugi,bug
Sindhi,سنڌي، سندھی ، सिन्ध,sd
Upper Sorbian,Hornjoserbsce,hsb
Maithili,मैथिली,mai
Faroese,Føroyskt,fo
Walloon,Walon,wa
Banyumasan,Basa Banyumasan,map-bms
Mazandarani,مَزِروني,mzn
Limburgish,Limburgs,li
Sakha,Саха тыла (Saxa Tyla),sah
Ossetian,Иронау,os
Emilian-Romagnol,Emiliàn e rumagnòl,eml
North Frisian,Nordfriisk,frr
Acehnese,Bahsa Acèh,ace
Kotava,Kotava,avk
Pashto,پښتو,ps
Sanskrit,संस्कृतम्,sa
Gorontalo,Hulontalo,gor
Central Bicolano,Bikol,bcl
Classical Chinese,古文 / 文言文,zh-classical
Hill Mari,Кырык Мары (Kyryk Mary),mrj
Meadow Mari,Олык Марий (Olyk Marij),mhr
Fiji Hindi,Fiji Hindi,hif
Hakka,Hak-kâ-fa / 客家話,hak
Tarantino,Tarandíne,roa-tara
Kapampangan,Kapampangan,pam
Crimean Tatar,Qırımtatarca,crh
Western Armenian,Արեւմտահայերէն,hyw
Northern Sotho,Sepedi,nso
Khmer,ភាសាខ្មែរ,km
Shan,လိၵ်ႈတႆး,shn
